"countyFIPS5","county","healthOutcomes","healthFactors"
"19000",,,
"19001","Adair","52","46"
"19003","Adams","31","34"
"19005","Allamakee","48","75"
"19007","Appanoose","93","96"
"19009","Audubon","76","32"
"19011","Benton","24","41"
"19013","Black Hawk","78","72"
"19015","Boone","16","40"
"19017","Bremer","8","6"
"19019","Buchanan","10","33"
"19021","Buena Vista","46","53"
"19023","Butler","54","29"
"19025","Calhoun","75","60"
"19027","Carroll","21","13"
"19029","Cass","92","58"
"19031","Cedar","9","14"
"19033","Cerro Gordo","80","37"
"19035","Cherokee","55","51"
"19037","Chickasaw","34","21"
"19039","Clarke","96","94"
"19041","Clay","29","20"
"19043","Clayton","38","83"
"19045","Clinton","89","93"
"19047","Crawford","59","97"
"19049","Dallas","1","1"
"19051","Davis","77","84"
"19053","Decatur","95","81"
"19055","Delaware","37","30"
"19057","Des Moines","88","99"
"19059","Dickinson","15","8"
"19061","Dubuque","18","50"
"19063","Emmet","87","57"
"19065","Fayette","71","73"
"19067","Floyd","65","76"
"19069","Franklin","61","62"
"19071","Fremont","86","74"
"19073","Greene","49","48"
"19075","Grundy","13","10"
"19077","Guthrie","23","44"
"19079","Hamilton","60","43"
"19081","Hancock","4","16"
"19083","Hardin","39","56"
"19085","Harrison","67","49"
"19087","Henry","40","59"
"19089","Howard","35","35"
"19091","Humboldt","20","24"
"19093","Ida","63","39"
"19095","Iowa","14","15"
"19097","Jackson","43","80"
"19099","Jasper","47","36"
"19101","Jefferson","26","61"
"19103","Johnson","6","5"
"19105","Jones","19","70"
"19107","Keokuk","57","82"
"19109","Kossuth","44","23"
"19111","Lee","98","92"
"19113","Linn","30","25"
"19115","Louisa","84","79"
"19117","Lucas","73","78"
"19119","Lyon","12","7"
"19121","Madison","11","27"
"19123","Mahaska","56","52"
"19125","Marion","22","11"
"19127","Marshall","79","90"
"19129","Mills","70","28"
"19131","Mitchell","5","26"
"19133","Monona","97","87"
"19135","Monroe","62","66"
"19137","Montgomery","99","77"
"19139","Muscatine","68","71"
"19141","O'Brien","50","19"
"19143","Osceola","69","55"
"19145","Page","66","69"
"19147","Palo Alto","72","31"
"19149","Plymouth","36","9"
"19151","Pocahontas","64","64"
"19153","Polk","45","54"
"19155","Pottawattamie","90","89"
"19157","Poweshiek","41","22"
"19159","Ringgold","58","47"
"19161","Sac","32","17"
"19163","Scott","53","68"
"19165","Shelby","27","18"
"19167","Sioux","3","2"
"19169","Story","7","3"
"19171","Tama","85","88"
"19173","Taylor","74","65"
"19175","Union","91","67"
"19177","Van Buren","51","91"
"19179","Wapello","94","95"
"19181","Warren","17","12"
"19183","Washington","42","38"
"19185","Wayne","81","98"
"19187","Webster","82","86"
"19189","Winnebago","25","45"
"19191","Winneshiek","2","4"
"19193","Woodbury","83","85"
"19195","Worth","33","42"
"19197","Wright","28","63"
