"","GEOID","NAME","TotalE","TotalM","ArabicE","ArabicM"
"1","19001","Adair County, Iowa",6997,24,0,15
"2","19003","Adams County, Iowa",3490,8,0,10
"3","19005","Allamakee County, Iowa",13109,17,43,66
"4","19007","Appanoose County, Iowa",11670,28,0,16
"5","19009","Audubon County, Iowa",5276,31,0,15
"6","19011","Benton County, Iowa",24087,15,0,19
"7","19013","Black Hawk County, Iowa",123224,28,253,173
"8","19015","Boone County, Iowa",25293,70,0,19
"9","19017","Bremer County, Iowa",23445,50,7,14
"10","19019","Buchanan County, Iowa",19228,37,0,19
"11","19021","Buena Vista County, Iowa",19241,21,12,18
"12","19023","Butler County, Iowa",13654,43,0,16
"13","19025","Calhoun County, Iowa",9374,37,0,15
"14","19027","Carroll County, Iowa",19487,79,0,19
"15","19029","Cass County, Iowa",12441,48,0,16
"16","19031","Cedar County, Iowa",17587,23,0,16
"17","19033","Cerro Gordo County, Iowa",40896,25,15,25
"18","19035","Cherokee County, Iowa",10993,45,4,10
"19","19037","Chickasaw County, Iowa",11212,54,8,13
"20","19039","Clarke County, Iowa",9111,4,0,15
"21","19041","Clay County, Iowa",15465,70,0,16
"22","19043","Clayton County, Iowa",16166,55,0,16
"23","19045","Clinton County, Iowa",43861,35,58,57
"24","19047","Crawford County, Iowa",15560,25,102,125
"25","19049","Dallas County, Iowa",89536,60,791,551
"26","19051","Davis County, Iowa",8246,29,0,15
"27","19053","Decatur County, Iowa",7259,10,5,7
"28","19055","Delaware County, Iowa",16374,77,0,16
"29","19057","Des Moines County, Iowa",36862,103,8,13
"30","19059","Dickinson County, Iowa",16769,28,16,24
"31","19061","Dubuque County, Iowa",92605,50,150,113
"32","19063","Emmet County, Iowa",8922,62,11,15
"33","19065","Fayette County, Iowa",18506,36,4,8
"34","19067","Floyd County, Iowa",14729,89,0,16
"35","19069","Franklin County, Iowa",9445,15,0,16
"36","19071","Fremont County, Iowa",6347,24,0,15
"37","19073","Greene County, Iowa",8339,14,30,40
"38","19075","Grundy County, Iowa",11647,37,0,16
"39","19077","Guthrie County, Iowa",10071,14,0,16
"40","19079","Hamilton County, Iowa",14225,77,0,16
"41","19081","Hancock County, Iowa",10213,13,0,16
"42","19083","Hardin County, Iowa",16201,29,46,75
"43","19085","Harrison County, Iowa",13737,22,0,16
"44","19087","Henry County, Iowa",19404,31,0,19
"45","19089","Howard County, Iowa",8781,28,0,15
"46","19091","Humboldt County, Iowa",9040,9,0,15
"47","19093","Ida County, Iowa",6574,5,0,15
"48","19095","Iowa County, Iowa",15665,51,0,16
"49","19097","Jackson County, Iowa",18346,59,0,16
"50","19099","Jasper County, Iowa",35587,61,243,179
"51","19101","Jefferson County, Iowa",14996,298,168,111
"52","19103","Johnson County, Iowa",143163,53,2985,734
"53","19105","Jones County, Iowa",19539,102,0,19
"54","19107","Keokuk County, Iowa",9463,17,0,16
"55","19109","Kossuth County, Iowa",13933,59,0,16
"56","19111","Lee County, Iowa",31790,25,0,22
"57","19113","Linn County, Iowa",214481,40,1098,565
"58","19115","Louisa County, Iowa",10262,37,46,56
"59","19117","Lucas County, Iowa",8135,12,0,15
"60","19119","Lyon County, Iowa",11087,18,0,16
"61","19121","Madison County, Iowa",15559,15,0,16
"62","19123","Mahaska County, Iowa",20703,96,0,19
"63","19125","Marion County, Iowa",31496,93,0,22
"64","19127","Marshall County, Iowa",37587,115,107,116
"65","19129","Mills County, Iowa",13901,30,0,16
"66","19131","Mitchell County, Iowa",9876,38,0,16
"67","19133","Monona County, Iowa",8261,11,0,15
"68","19135","Monroe County, Iowa",7122,100,0,15
"69","19137","Montgomery County, Iowa",9714,44,20,25
"70","19139","Muscatine County, Iowa",40412,129,111,89
"71","19141","O'Brien County, Iowa",13233,12,73,72
"72","19143","Osceola County, Iowa",5831,5,0,15
"73","19145","Page County, Iowa",14498,68,0,16
"74","19147","Palo Alto County, Iowa",8428,65,11,16
"75","19149","Plymouth County, Iowa",23984,66,0,19
"76","19151","Pocahontas County, Iowa",6667,34,0,15
"77","19153","Polk County, Iowa",455237,64,3788,940
"78","19155","Pottawattamie County, Iowa",87735,122,32,32
"79","19157","Poweshiek County, Iowa",17721,36,12,16
"80","19159","Ringgold County, Iowa",4451,25,2,3
"81","19161","Sac County, Iowa",9261,26,4,6
"82","19163","Scott County, Iowa",163386,NA,162,138
"83","19165","Shelby County, Iowa",11167,20,0,16
"84","19167","Sioux County, Iowa",33081,33,0,22
"85","19169","Story County, Iowa",93738,44,192,157
"86","19171","Tama County, Iowa",16046,12,0,16
"87","19173","Taylor County, Iowa",5599,19,0,15
"88","19175","Union County, Iowa",11516,53,0,16
"89","19177","Van Buren County, Iowa",6762,8,0,15
"90","19179","Wapello County, Iowa",33173,47,120,100
"91","19181","Warren County, Iowa",48815,68,0,24
"92","19183","Washington County, Iowa",21073,34,0,19
"93","19185","Wayne County, Iowa",6032,27,0,15
"94","19187","Webster County, Iowa",34946,27,12,20
"95","19189","Winnebago County, Iowa",10201,20,0,16
"96","19191","Winneshiek County, Iowa",19169,43,31,51
"97","19193","Woodbury County, Iowa",97779,17,129,98
"98","19195","Worth County, Iowa",7040,22,0,15
"99","19197","Wright County, Iowa",12174,1,0,16
