"","GEOID","NAME","TotalE","TotalM","SpanishE","SpanishM"
"1","19001","Adair County, Iowa",6997,24,71,42
"2","19003","Adams County, Iowa",3490,8,66,32
"3","19005","Allamakee County, Iowa",13109,17,791,79
"4","19007","Appanoose County, Iowa",11670,28,48,51
"5","19009","Audubon County, Iowa",5276,31,57,31
"6","19011","Benton County, Iowa",24087,15,351,100
"7","19013","Black Hawk County, Iowa",123224,28,4123,490
"8","19015","Boone County, Iowa",25293,70,459,111
"9","19017","Bremer County, Iowa",23445,50,164,56
"10","19019","Buchanan County, Iowa",19228,37,276,107
"11","19021","Buena Vista County, Iowa",19241,21,4407,240
"12","19023","Butler County, Iowa",13654,43,107,63
"13","19025","Calhoun County, Iowa",9374,37,113,36
"14","19027","Carroll County, Iowa",19487,79,251,122
"15","19029","Cass County, Iowa",12441,48,269,137
"16","19031","Cedar County, Iowa",17587,23,197,83
"17","19033","Cerro Gordo County, Iowa",40896,25,904,265
"18","19035","Cherokee County, Iowa",10993,45,450,169
"19","19037","Chickasaw County, Iowa",11212,54,279,65
"20","19039","Clarke County, Iowa",9111,4,1026,247
"21","19041","Clay County, Iowa",15465,70,238,150
"22","19043","Clayton County, Iowa",16166,55,412,101
"23","19045","Clinton County, Iowa",43861,35,467,241
"24","19047","Crawford County, Iowa",15560,25,3965,285
"25","19049","Dallas County, Iowa",89536,60,4019,416
"26","19051","Davis County, Iowa",8246,29,108,63
"27","19053","Decatur County, Iowa",7259,10,89,42
"28","19055","Delaware County, Iowa",16374,77,183,101
"29","19057","Des Moines County, Iowa",36862,103,618,280
"30","19059","Dickinson County, Iowa",16769,28,283,108
"31","19061","Dubuque County, Iowa",92605,50,2004,295
"32","19063","Emmet County, Iowa",8922,62,567,149
"33","19065","Fayette County, Iowa",18506,36,293,73
"34","19067","Floyd County, Iowa",14729,89,253,96
"35","19069","Franklin County, Iowa",9445,15,1080,154
"36","19071","Fremont County, Iowa",6347,24,76,39
"37","19073","Greene County, Iowa",8339,14,197,49
"38","19075","Grundy County, Iowa",11647,37,185,69
"39","19077","Guthrie County, Iowa",10071,14,150,50
"40","19079","Hamilton County, Iowa",14225,77,763,171
"41","19081","Hancock County, Iowa",10213,13,266,86
"42","19083","Hardin County, Iowa",16201,29,518,91
"43","19085","Harrison County, Iowa",13737,22,132,50
"44","19087","Henry County, Iowa",19404,31,671,134
"45","19089","Howard County, Iowa",8781,28,107,18
"46","19091","Humboldt County, Iowa",9040,9,352,58
"47","19093","Ida County, Iowa",6574,5,151,59
"48","19095","Iowa County, Iowa",15665,51,118,59
"49","19097","Jackson County, Iowa",18346,59,211,127
"50","19099","Jasper County, Iowa",35587,61,627,187
"51","19101","Jefferson County, Iowa",14996,298,416,169
"52","19103","Johnson County, Iowa",143163,53,6227,562
"53","19105","Jones County, Iowa",19539,102,260,122
"54","19107","Keokuk County, Iowa",9463,17,78,29
"55","19109","Kossuth County, Iowa",13933,59,237,89
"56","19111","Lee County, Iowa",31790,25,453,172
"57","19113","Linn County, Iowa",214481,40,3924,631
"58","19115","Louisa County, Iowa",10262,37,1399,101
"59","19117","Lucas County, Iowa",8135,12,121,57
"60","19119","Lyon County, Iowa",11087,18,179,49
"61","19121","Madison County, Iowa",15559,15,247,118
"62","19123","Mahaska County, Iowa",20703,96,200,95
"63","19125","Marion County, Iowa",31496,93,539,133
"64","19127","Marshall County, Iowa",37587,115,6997,382
"65","19129","Mills County, Iowa",13901,30,232,68
"66","19131","Mitchell County, Iowa",9876,38,147,54
"67","19133","Monona County, Iowa",8261,11,102,54
"68","19135","Monroe County, Iowa",7122,100,48,51
"69","19137","Montgomery County, Iowa",9714,44,111,83
"70","19139","Muscatine County, Iowa",40412,129,5024,435
"71","19141","O'Brien County, Iowa",13233,12,387,152
"72","19143","Osceola County, Iowa",5831,5,425,67
"73","19145","Page County, Iowa",14498,68,125,79
"74","19147","Palo Alto County, Iowa",8428,65,147,68
"75","19149","Plymouth County, Iowa",23984,66,1040,190
"76","19151","Pocahontas County, Iowa",6667,34,230,35
"77","19153","Polk County, Iowa",455237,64,26652,1129
"78","19155","Pottawattamie County, Iowa",87735,122,4731,477
"79","19157","Poweshiek County, Iowa",17721,36,462,105
"80","19159","Ringgold County, Iowa",4451,25,92,48
"81","19161","Sac County, Iowa",9261,26,214,52
"82","19163","Scott County, Iowa",163386,NA,4207,610
"83","19165","Shelby County, Iowa",11167,20,268,84
"84","19167","Sioux County, Iowa",33081,33,2584,423
"85","19169","Story County, Iowa",93738,44,1884,289
"86","19171","Tama County, Iowa",16046,12,1314,137
"87","19173","Taylor County, Iowa",5599,19,375,59
"88","19175","Union County, Iowa",11516,53,107,61
"89","19177","Van Buren County, Iowa",6762,8,46,24
"90","19179","Wapello County, Iowa",33173,47,2604,302
"91","19181","Warren County, Iowa",48815,68,636,171
"92","19183","Washington County, Iowa",21073,34,1035,113
"93","19185","Wayne County, Iowa",6032,27,84,43
"94","19187","Webster County, Iowa",34946,27,943,222
"95","19189","Winnebago County, Iowa",10201,20,303,59
"96","19191","Winneshiek County, Iowa",19169,43,327,108
"97","19193","Woodbury County, Iowa",97779,17,12798,711
"98","19195","Worth County, Iowa",7040,22,18,14
"99","19197","Wright County, Iowa",12174,1,1120,141
